日付け,終値,始値,高値,安値,出来高,前日比%
2020年2月4日,"395,099","1,008,820","1,015,000","991,660",3.75K,-0.52%
2020年2月3日,"392,999","1,010,175","1,040,000","1,003,606",4.57K,-0.18%
2020年2月2日,"393,923","1,015,630","1,025,000","995,050",4.37K,-0.51%
2020年2月1日,"395,229","1,013,273","1,023,948","1,007,302",2.84K,0.26%
2020年1月31日,"400,000","1,031,610","1,032,279","1,003,000",4.49K,-1.80%
2020年1月30日,"427,531","1,011,955","1,036,478","1,001,346",5.93K,1.94%
2020年1月29日,"429,982","1,022,498","1,025,267","1,006,500",6.23K,-1.03%
2020年1月28日,"435,816","969,060","1,023,558","969,060",8.41K,5.51%
2020年1月27日,"432,185","936,240","978,949","935,310",4.76K,3.58%
2020年1月26日,"435,789","911,000","938,745","907,000",2.59K,2.69%
2020年1月25日,"453,900","921,808","922,390","903,636",2.02K,-1.17%
2020年1月24日,"413,712","918,822","931,120","901,240",4.14K,0.32%
2020年1月23日,"423,575","950,633","951,950","906,220",4.84K,-3.35%
2020年1月22日,"419,629","957,629","967,075","943,000",2.81K,-0.73%
2020年1月21日,"421,267","950,811","960,000","933,333",3.72K,0.72%
2020年1月20日,"422,865","957,880","961,898","938,020",4.10K,-0.75%
2020年1月19日,"425,943","981,000","1,009,500","940,000",7.36K,-2.35%
2020年1月18日,"426,039","980,172","987,152","970,996",3.45K,0.08%
2020年1月17日,"423,661","958,730","990,001","954,290",7.94K,2.24%
2020年1月16日,"413,871","964,324","968,750","943,000",5.03K,-0.58%
2020年1月15日,"429,450","965,570","975,000","939,000",7.74K,-0.13%
2020年1月14日,"429,848","887,538","970,000","887,400",11.11K,8.79%
2020年1月13日,"430,100","893,000","893,620","881,900",2.79K,-0.54%
2020年1月12日,"427,484","875,339","892,959","870,500",2.99K,1.89%
2020年1月11日,"435,287","895,000","902,444","874,501",4.53K,-2.14%
2020年1月10日,"433,206","854,944","895,859","840,010",7.07K,4.69%
2020年1月9日,"428,795","877,290","877,947","848,000",5.69K,-2.55%
2020年1月8日,"429,580","882,100","914,564","859,770",11.35K,-0.69%
2020年1月7日,"428,300","841,539","888,759","839,000",7.98K,4.98%
2020年1月6日,"430,167","793,632","844,900","793,000",5.08K,6.04%
2020年1月5日,"434,178","794,060","809,500","789,062",2.54K,-0.05%
2020年1月4日,"443,635","792,882","798,999","786,500",1.90K,0.18%
2020年1月3日,"441,454","754,800","798,000","742,520",5.65K,5.01%
2020年1月2日,"442,176","780,490","781,186","751,850",2.50K,-3.29%
2020年1月1日,"445,064","779,690","786,450","778,000",1.45K,0.13%
2019年12月31日,"445,814","786,800","793,020","773,932",2.54K,-0.97%
2019年12月30日,"440,825","807,988","808,076","784,966",2.63K,-2.58%
2019年12月29日,"438,504","799,490","822,020","796,070",2.81K,1.06%
2019年12月28日,"438,500","792,233","803,741","791,520",2.19K,0.92%
2019年12月27日,"436,971","788,628","793,328","774,321",3.63K,0.50%
2019年12月26日,"429,928","787,145","812,770","784,000",3.96K,0.15%
2019年12月25日,"433,151","793,410","794,896","780,314",3.87K,-0.79%
2019年12月24日,"444,477","800,320","813,230","783,870",4.65K,-0.86%
2019年12月23日,"443,222","821,695","840,000","795,000",6.73K,-2.58%
2019年12月22日,"452,501","781,592","822,000","779,490",3.35K,5.11%
2019年12月21日,"453,000","786,600","786,600","778,740",1.14K,-0.64%
2019年12月20日,"453,417","779,042","789,695","771,781",2.95K,0.97%
2019年12月19日,"460,500","798,000","807,000","769,412",6.25K,-2.38%
